1,"Root      "
2,"C1        "
3,"C11       "
4,"C12       "
5,"C13       "
6,"C14       "
7,"C15       "
8,"C151      "
9,"C1511     "
10,"C152      "
11,"C16       "
12,"C17       "
13,"C171      "
14,"C172      "
15,"C173      "
16,"C174      "
17,"C18       "
18,"C181      "
19,"C182      "
20,"C183      "
21,"C2        "
22,"C21       "
23,"C22       "
24,"C23       "
25,"C24       "
26,"C3        "
27,"C31       "
28,"C311      "
29,"C312      "
30,"C313      "
31,"C32       "
32,"C33       "
33,"C331      "
34,"C34       "
35,"C4        "
36,"C41       "
37,"C411      "
38,"C42       "
39,"CCAT      "
40,"E1        "
41,"E11       "
42,"E12       "
43,"E121      "
44,"E13       "
45,"E131      "
46,"E132      "
47,"E14       "
48,"E141      "
49,"E142      "
50,"E143      "
51,"E2        "
52,"E21       "
53,"E211      "
54,"E212      "
55,"E3        "
56,"E31       "
57,"E311      "
58,"E312      "
59,"E313      "
60,"E4        "
61,"E41       "
62,"E411      "
63,"E5        "
64,"E51       "
65,"E511      "
66,"E512      "
67,"E513      "
68,"E6        "
69,"E61       "
70,"E7        "
71,"E71       "
72,"ECAT      "
73,"G1        "
74,"G15       "
75,"G151      "
76,"G152      "
77,"G153      "
78,"G154      "
79,"G155      "
80,"G156      "
81,"G157      "
82,"G158      "
83,"G159      "
84,"GCAT      "
85,"GCRIM     "
86,"GDEF      "
87,"GDIP      "
88,"GDIS      "
89,"GENT      "
90,"GENV      "
91,"GFAS      "
92,"GHEA      "
93,"GJOB      "
94,"GMIL      "
95,"GOBIT     "
96,"GODD      "
97,"GPOL      "
98,"GPRO      "
99,"GREL      "
100,"GSCI      "
101,"GSPO      "
102,"GTOUR     "
103,"GVIO      "
104,"GVOTE     "
105,"GWEA      "
106,"GWELF     "
107,"M1        "
108,"M11       "
109,"M12       "
110,"M13       "
111,"M131      "
112,"M132      "
113,"M14       "
114,"M141      "
115,"M142      "
116,"M143      "
117,"MCAT      "
